ID-COLABORAÇAO;QUESTAO;ALUNO;TIPO COLAB;MENSAGEM;ARQUIVO;DATA/HORA;Como saber a qual CHAT pertence  ATIVIDADE?;;
2a37c925-7d40-4d43-924f-e10d4e026218;306828a6-fcf2-4b7d-8256-c0f604704a5c;58;1;todas aqui?;;28/03/2017 20:53;;;
e39aad16-6f5b-422f-a803-5652498e56ad;306828a6-fcf2-4b7d-8256-c0f604704a5c;44;1;sim;;28/03/2017 20:53;;;
c54e5b0c-d016-4f66-9d0e-82b0e384bd4b;306828a6-fcf2-4b7d-8256-c0f604704a5c;55;1;sim, araujo já tá vindo também;;28/03/2017 20:53;;;
230112b6-6c47-45de-ad4b-fd7144baafc6;306828a6-fcf2-4b7d-8256-c0f604704a5c;55;1;a A está certa, acabei de ver na apostila;;28/03/2017 20:54;;;
05ba8a3d-117b-4797-8dd8-98d681e7ce75;306828a6-fcf2-4b7d-8256-c0f604704a5c;44;1;blz;;28/03/2017 20:54;;;
d5ff1736-ac41-442f-b7fa-971bbd5e7a04;306828a6-fcf2-4b7d-8256-c0f604704a5c;57;1;entreii;;28/03/2017 20:55;;;
55ec93ff-427c-4c02-b3a6-9415356d03de;306828a6-fcf2-4b7d-8256-c0f604704a5c;57;1;a a ta certa mesmo;;28/03/2017 20:56;;;
ceab72d6-0500-42e6-9283-dd289ae2e56a;306828a6-fcf2-4b7d-8256-c0f604704a5c;55;1;beleza kk;;28/03/2017 20:56;;;
87ffd435-9ddd-434e-990b-597d99abc922;306828a6-fcf2-4b7d-8256-c0f604704a5c;58;1;pelo que pesquisei a B sao exemplos de um erro nao-amostral;;28/03/2017 20:57;;;
32c50b10-08f6-464b-bac6-9bad667ac2dd;306828a6-fcf2-4b7d-8256-c0f604704a5c;44;1;a  C está incorreta;;28/03/2017 20:57;;;
107c8d7f-c279-494d-9f4f-2ace2170f767;306828a6-fcf2-4b7d-8256-c0f604704a5c;57;1;sim;;28/03/2017 20:57;;;
2a14d035-b15b-4b6c-9682-b6c0274bbfcd;306828a6-fcf2-4b7d-8256-c0f604704a5c;55;1;só A então?;;28/03/2017 20:58;;;
